,lat,minPrimary_transitTime,min_dis,remaining_lease,DBSS,Improved,Model A,New Generation,Type S1,Type S2,2 ROOM,01 TO 03,04 TO 06,16 TO 18,19 TO 21,22 TO 24,25 TO 27,28 TO 30,31 TO 33,34 TO 36,37 TO 39,40 TO 42,43 TO 45,BISHAN,BUKIT MERAH,CENTRAL AREA,CHOA CHU KANG,CLEMENTI,JURONG WEST,KALLANG/WHAMPOA,QUEENSTOWN,WOODLANDS,YISHUN,resale_price_per_sqm
30,1.36495953274783,1161.0,0.0075578393608912,55.333333333333336,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5608.108108108108
31,1.34971656732554,320.0,0.0061266582084637,62.833333333333336,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5240.963855421687
32,1.40116989540271,995.0,0.0047066754907082,90.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6717.391304347826
33,1.34793710953534,819.0,0.0104435211482247,69.58333333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4609.375
34,1.28107116546835,847.0,0.010147257018693,93.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9402.985074626866
35,1.4402617089292,591.0,0.008283575438738,71.83333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4742.857142857143
36,1.38854689304718,798.0,0.00464975632462,91.16666666666669,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5215.05376344086
37,1.36313376810873,957.0,0.0068237794266716,94.58333333333331,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7228.260869565217
38,1.35234861922854,494.0,0.0087256156386787,95.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6838.709677419355
39,1.33637959148296,858.0,0.0083171248117288,72.75,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5000.0
40,1.37602869228672,356.0,0.005795230888345,92.41666666666669,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5663.716814159292
41,1.32791477933184,844.0,0.0043766986206053,53.41666666666666,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5932.203389830508
42,1.38555067626764,919.0,0.0011934493241698,74.41666666666667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4737.864077669903
43,1.34036989064657,516.0,0.0031499141236558,74.41666666666667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5080.0
44,1.43860258381124,556.0,0.0183017503401466,94.41666666666669,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6043.478260869565
45,1.39058578077811,290.0,0.0039098473487919,78.33333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5666.666666666667
46,1.37572474108554,516.0,0.0057102520106301,56.41666666666666,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5073.529411764706
47,1.34279239066606,631.0,0.0052390920268991,77.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5272.727272727273
48,1.33464078301907,1265.0,0.002303462064987,85.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8109.89010989011
49,1.29073246202285,1434.0,0.0046171092430405,46.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5000.0
50,1.37140239598539,1083.0,0.005435273666972,55.583333333333336,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5925.925925925926
51,1.44985632437762,1112.0,0.012328217371268,93.91666666666669,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5698.924731182796
52,1.40343593772923,1237.0,0.0066750404714973,77.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4527.272727272727
53,1.40063924818019,1103.0,0.004507763107442,71.91666666666667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4770.992366412213
54,1.36830996981351,1219.0,0.0043634762841092,54.91666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6086.95652173913
55,1.38553943564032,793.0,0.0020991316594969,88.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5747.368421052632
56,1.43828221158378,724.0,0.0069330996368151,93.16666666666669,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6194.690265486725
57,1.39851583178002,542.0,0.0019674440630703,79.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6093.75
58,1.398148804861,349.0,0.0016652404318867,80.91666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5436.363636363636
59,1.43839759376345,521.0,0.0122163217899211,76.58333333333333,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5647.058823529412
60,1.34665351063977,641.0,0.0042740920537422,60.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4567.307692307692
61,1.34502077023724,745.0,0.0069830323181959,94.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7204.301075268817
62,1.40374587144445,545.0,0.0020060037505252,89.08333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6477.04347826087
63,1.44817395186338,879.0,0.0170515471677891,91.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5217.391304347826
64,1.32585546338587,2313.0,0.0056237897495103,64.75,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6423.076923076923
65,1.43905183955493,507.0,0.0181081181204118,94.75,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6250.0
66,1.38049324676581,421.0,0.010264593485686,78.75,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5666.666666666667
67,1.44099129535005,734.0,0.0075386638145406,72.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5479.45205479452
68,1.30606601392047,816.0,0.0010730641740584,61.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6470.588235294118
69,1.31441982602285,563.0,0.0013690829690025,54.66666666666666,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5972.222222222223
