,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,605.5187377929688
1,7,16,0.01,547.73291015625
2,7,32,0.008,549.4788818359375
3,7,32,0.01,530.63916015625
4,7,64,0.008,536.9696044921875
5,7,64,0.01,568.6844482421875
6,8,16,0.008,552.3800048828125
7,8,16,0.01,542.1730346679688
8,8,32,0.008,538.9552612304688
9,8,32,0.01,554.73828125
10,8,64,0.008,546.900146484375
11,8,64,0.01,536.5922241210938
12,9,16,0.008,535.8932495117188
13,9,16,0.01,535.4459228515625
14,9,32,0.008,531.7499389648438
15,9,32,0.01,539.8095092773438
16,9,64,0.008,565.8238525390625
17,9,64,0.01,537.7451171875
