,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,438.6421813964844
1,7,16,0.01,421.7687072753906
2,7,32,0.008,444.6061706542969
3,7,32,0.01,427.6542053222656
4,7,64,0.008,431.93707275390625
5,7,64,0.01,436.9909973144531
6,8,16,0.008,430.238525390625
7,8,16,0.01,427.2033386230469
8,8,32,0.008,424.16094970703125
9,8,32,0.01,431.93255615234375
10,8,64,0.008,427.2051086425781
11,8,64,0.01,422.6650085449219
12,9,16,0.008,420.1458435058594
13,9,16,0.01,425.9193420410156
14,9,32,0.008,424.05169677734375
15,9,32,0.01,426.9822692871094
16,9,64,0.008,427.77838134765625
17,9,64,0.01,427.42138671875
