,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,404.279296875
1,7,16,0.01,396.24114990234375
2,7,32,0.008,409.9374694824219
3,7,32,0.01,395.67120361328125
4,7,64,0.008,410.2163391113281
5,7,64,0.01,411.0394592285156
6,8,16,0.008,411.39654541015625
7,8,16,0.01,408.97314453125
8,8,32,0.008,395.7488098144531
9,8,32,0.01,394.8021240234375
10,8,64,0.008,402.47119140625
11,8,64,0.01,400.8307189941406
12,9,16,0.008,402.0146179199219
13,9,16,0.01,401.91571044921875
14,9,32,0.008,395.9836120605469
15,9,32,0.01,395.80462646484375
16,9,64,0.008,404.9095153808594
17,9,64,0.01,395.16070556640625
